policy_id,client_id,start_date,end_date,initial_premium,current_premium,renewed,claims_count,region,age
POL-001,CLT-001,2022-01-15,2024-01-15,1000,1100,1,2,Nord,45
POL-002,CLT-002,2022-03-20,2024-03-20,1200,1300,1,1,Sud,38
POL-003,CLT-003,2022-06-10,2024-06-10,800,750,0,3,Est,52
POL-004,CLT-004,2022-09-05,2024-09-05,1500,1600,1,0,Ouest,41
POL-005,CLT-005,2023-01-10,2025-01-10,900,950,1,1,Nord,29
POL-006,CLT-006,2023-02-15,2025-02-15,1300,1200,0,2,Sud,47
POL-007,CLT-007,2023-04-22,2025-04-22,1100,1150,1,0,Est,33
POL-008,CLT-008,2023-07-18,2025-07-18,1400,1450,1,1,Ouest,56
POL-009,CLT-009,2023-09-30,2025-09-30,950,900,0,3,Nord,44
POL-010,CLT-010,2023-11-12,2025-11-12,1250,1300,1,2,Sud,39
